"Part","Value","Device","Package","Description","MF","MPN","OC_FARNELL","OC_NEWARK","STOREFRONT_ID",
"AC","JST-VH-6","JST-VH-6","JST-VH-6","","","","","","",
"AMP_CT","AMP_CT","MOLEX_2","MOLEX_2","","","","","","",
"C1","22pf","CAP0805","0805","Capacitor","","","","","",
"C2","22pf","CAP0805","0805","Capacitor","","","","","",
"C3",".1uf","CAP0805","0805","Capacitor","","","","","",
"C4","10uf","CAP_POL1206","EIA3216","Capacitor Polarized","","","","","",
"C5","10uf","1.0UF50V10%(1206)","1206-CAP","CAP-09822","","","","","",
"C6","10uf","1.0UF50V10%(1206)","1206-CAP","CAP-09822","","","","","",
"C7",".1uf","CAP0805","0805","Capacitor","","","","","",
"C8",".1uf","CAP0805","0805","Capacitor","","","","","",
"C9",".1uf","CAP0805","0805","Capacitor","","","","","",
"C10",".1uf","CAP0805","0805","Capacitor","","","","","",
"C11",".1uf","CAP0805","0805","Capacitor","","","","","",
"C12",".1uf","CAP0805","0805","Capacitor","","","","","",
"C13","10uf","CAP_POL1206","EIA3216","Capacitor Polarized","","","","","",
"C14","10uf","CAP_POL1206","EIA3216","Capacitor Polarized","","","","","",
"C15",".1uf","CAP0805","0805","Capacitor","","","","","",
"C16",".1uf","CAP0805","0805","Capacitor","","","","","",
"COMM","JST6","JST6","JST6","","","","","","",
"D1","AZ23C5V6-7-F","BAS40-06","SOT23","Silicon Schottky Diodes","","","","","",
"D2","1N4148","DIODE-SOD123","SOD123","DIODE","","","","","",
"D3","1N4148","DIODE-SOD123","SOD123","DIODE","","","","","",
"D4","1N4148","DIODE-SOD123","SOD123","DIODE","","","","","",
"D5","1N4148","DIODE-SOD123","SOD123","DIODE","","","","","",
"D6","1N4148","DIODE-SOD123","SOD123","DIODE","","","","","",
"D7","1N4004","MBRA340T3","SMA","Surface Mount Schottky Power Rectifier","","","","","",
"D8","1N4004","MBRA340T3","SMA","Surface Mount Schottky Power Rectifier","","","","","",
"DC_RELAY","DC_RELAY","MOLEX_3","MOLEX_3","","","","","","",
"F1","BEL1AFUSE","BEL1AFUSE","BELFUSE1A","","","","","","",
"F2","BEL1AFUSE","BEL1AFUSE","BELFUSE1A","","","","","","",
"GFCI_CT","GFCI_CT","GFCI_4","GFCI_4","","","","","","",
"I2C","","M04JST-PTH-VERT","JST-4-PTH-VERT","Header 4","","","","","",
"IC1","HCPL-2731","HCPL-2731","DIP08","","","","","","",
"IC2","ATMEGA328P-AU","MEGA8-AI","TQFP32-08","MICROCONTROLLER","","ATMEGA8-16AU","9171371","73M8863","",
"IC3","LM358","LMV358","SO08","","","","","","",
"IC4","LF353","LMV358","SO08","","","","","","",
"IC5","AQH1213","AQH1213","DIP7","","","","","","",
"IC6","TC1044S","TC1044S","SO-8","","","","","","",
"ISP1","AVRISP-6","AVRISP-6","AVRISP","AVR ISP HEADER","","","","","",
"LOGO1","OSHW_LOGO_8MILX0150-NT","OSHW_LOGO_8MILX0150-NT","OSHW_8X150_NOTEXT","","","","","","",
"PILOT","","M025MM","SCREWTERMINAL-5MM-2","Standard 2-pin 0.1" header. Use with","","","","","PRT-08432",
"PS1","MPM-04E-1205","MPM-04E-1205","MPM-04E-1205","","","","","","",
"Q1","16000","XTAL-4-3225","NX3225","Classic 4-pin 3.2 x 2.5mm crystal","","","","","",
"Q2","2222A","BCX70SMD","SOT23","NPN Transistor","","","","","",
"Q3","2222A","BCX70SMD","SOT23","NPN Transistor","","","","","",
"R1","620","RESISTOR0805-RES","0805","Resistor","","","","","",
"R2","10k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R3","1k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R4","330k","RESISTORPTH-1/4W","AXIAL-0.4","Resistor","","","","","",
"R5","56k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R6","100k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R7","200k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R8","100k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R9","100k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R10","10k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R11","330","RESISTOR0805-RES","0805","Resistor","","","","","",
"R12","330","RESISTOR0805-RES","0805","Resistor","","","","","",
"R14","100k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R15","20k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R16","100k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R17","412","RESISTOR0805-RES","0805","Resistor","","","","","",
"R18","100","RESISTOR0805-RES","0805","Resistor","","","","","",
"R19","10k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R20","1k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R21","100k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R22","330K","RESISTORPTH-1/4W","AXIAL-0.4","Resistor","","","","","",
"R23","330","RESISTOR0805-RES","0805","Resistor","","","","","",
"R24","330","RESISTOR0805-RES","0805","Resistor","","","","","",
"R25","100k","RESISTOR0805-RES","0805","Resistor","","","","","",
"R26","22","RESISTOR0805-RES","0805","Resistor","","","","","",
"R29","330","RESISTOR0805-RES","0805","Resistor","","","","","",
"TVS","P6SMB16CA","DIODE-SMB","SMB","DIODE","","","","","",
"U$1","MOV","MOV","MOV","","","","","","",
"U$3","HOLE","HOLE","HOLE","","","","","","",
"U$4","HOLE","HOLE","HOLE","","","","","","",
